Başlık;Kira Bedeli;İlan Metni;Mahalle;İlan Tarihi;Yerleştiği Kat;Kat Sayısı;Yaşı;Oda Sayısı;Genişliği;Eşya durumu;Isınma;Aidat
BUCA HASAN AĞA BAHÇESİ GÜNLÜK KİRALIK;350 TL;Hijyen ve apart temizliği konusu en çok önem verdiğimiz konulardan biridir. Günlük kiralanan daire siz konaklamadan önce ve sonra apart temizlik görevlilerimiz tarafından temizlenir ve son kontrolleri yapıldıktan sonra size teslim edilir.Tüm mutfak araç gereçleri mevcuttur. Klimalı , termosifonlu resepsiyon hizmeti vermekteyiz.- TINAZTEPE HASTANESİNE 50 M- DEÜ KAMPÜSE 100 M- - SÜPERMARKET 30 M- OTOBANA 300 M- AVM 3 KM-ALAÇATI 70 KM- ÇEŞME 80 KM  Telefonu Göster --- Telefonu Göster;Adatepe;06-09-2024;En Üst Kat;5 Katlı;5 Yaşında;3 + 1;/ 75 m2;;;
MARKA'DAN H.AĞA BAHÇESİ YAKINI 3+1 D.GAZLI BALKONLU KİRALIK DAİR;20.000 TL;"MARKA GAYRİMENKULDEN
3+1
DOĞALGAZLI
BALKONLU
KONUMU DOĞRU İŞARETLİ
İLETİŞİM: Telefonu Göster";Kozağaç;02-10-2024;3. Kat;3 Katlı;5 Yaşında;3 + 1;/ 95 m2;Eşyalı Değil;;
2+1, İZBAN Yakını Kiralık Daire;13.000 TL;"-Öğrenciye kiralanabilir. Kefil istenir.
-Şirinyer Metro Yakını
-Çarşıya ve Ulaşım Araçlarına Yakın
-İnkılap Mahallesi
-2+1 daire 85 m²
-Merkezi Konum
-Aile Apartmanı
-2. Kat. Fotoğraflar aynı binadaki 4. Katta bulunan dairemize aittir. 4. Kat kiraya verilmiştir.
-Geniş Balkon
-Önü Açık Aydınlık Cephe
-Elektrikli Şofben
-Parke
-Boyalı ve Temiz Daire
-Oturma Takımı İsteğe Bağlı Bırakılacaktır.
-Asansör yok.";İnkılap;09-09-2024;En Üst Kat;4 Katlı;30 Yaşında;2 + 1;/ 85 m2;Eşyalı Değil;;
ERA NİVA'DAN BUCA MENDERES MAHALLESİNDE KİRALIK DAİRE;25.000 TL;"ERA NİVA GAYRİMENKUL GÜVENCESİ İLE
MENDERES MAHALLESİNDE BULUNAN DAİREMİZ,
Menderes caddesi üzerinde olup, 3+1 geniş kullanıma sahiptir.
Salonda tarihi şöminesi olup ısıtması onunla sağlanmaktadır.
Dairemizin mutfağı, banyosu yaptırılıp, teslim edilecektir.
3 adet geniş kullanımlı balkonu mevcuttur.
Binamızın hemen önünden tüm dolmuş ve otobüsler geçmektedir.
KONUM ÖZELLİKLERİ
Köfteci Yusuf’un üstünde,
Belediye, Öğretmenler sokağı,
Vergi dairesi, Bankalara, tüm restoranlara yürüme mesafesindedir.";Menderes;06-09-2024;1. Kat;4 Katlı;21 Yaşında;3 + 1;/ 110 m2;Eşyalı Değil;;
BUCA-İNÖNÜ MH.DE KİRALIK 3+1 DUBLEKS BÜYÜK TERASLI DAİRE;30.000 TL;"DAİREMİZ
3+1
DUBLEKS
50 M2 TERAS
İKİ BALKONLU
KÖŞE DAİRE
KOMBİLİ
ASANSÖRLÜ
AÇIK OTOPARKLI
OTOBÜS DURAĞI KARŞISINDA
SEMT PAZARI
BİM
BALSA
YANINDA
OTOKENTE
OTOBANA
6. SANAYİYE
SEMT GARAJINA
OPTİMUMA
YAKIN KONUMDA
İRTİBAT İÇİN
TURYAP
EMLAK DANIŞMANI
MUHARREM ÖZDEMİR
Telefonu Göster";İnönü;03-09-2024;3. Kat;3 Katlı;1 Yaşında;3 + 1;/ 150 m2;Eşyalı Değil;;
HAS CETINLERDEN KIRALIK 2+1DOGALGAZLI ARAKAT DAIRE;15.000 TL;HAS CETNLERDEN KIRALIK DOGALGAZLI ARAKAT DAIRE MERKEZU KONUM OKULLAR PAZARYERI BANKALAR HEMEN YAKININDA ULASIMI KOLAY DETAYLAR ICIN BIZI ARAYIN;Göksu;16-08-2024;2. Kat;4 Katlı;11 Yaşında;2 + 1;/ 90 m2;Eşyalı Değil;;
HASANAĞA BAHÇESİNE 50MT GENİŞ FERAH 1+1;18.000 TL;DAİREMİZ ÜÇKUYULAR MEYDAN HASANAĞA BAHÇESİNE 50 MT MESAFEDE YENİ BİNA DOĞALGAZLI GENİŞ KULLANIMA SAHİP OTOBÜS DOLMUŞ ULAŞIMI ÇOK KOLAY PAZAR YERİNE YAKIN GÜVENLİKLİ BİNA İÇERİSİNDE YER ALMAKTA DAİREDE OTOMATİK PANJUR SİSTEMİ ANKASTRE OCAK DAVLUMBAZ AKTİF ŞEKİLDE KULLANILABİLİR TESLİM EDİLECEKTİR BİNADA KAPALI OTOPARK İLE BİRLİKTE 100 ARACA YAKIN KAPASİTEDE AÇIK OTOPARK TA BULUNMAKTADIR;Kozağaç;14-08-2024;Yüksek Giriş;4 Katlı;3 Yaşında;1 + 1;/ 54 m2;Eşyalı;;250 TL
KAMPÜS KARŞISI 2+0 YENİ EŞYALI KİRALIK DAİRE;18.000 TL;"2+0 ( MUTFAK AYRI)
YENİ EŞYALI
2 KATLI BİNANIN 2.KATINDA
D.GAZ KOMBİ VE KLİMALI
ANKASTRE SET MEVCUT
EV GAYET KULLANIŞLI, RAHAT VE GÜNEŞ GÖRÜYÖR
FRANSIZ BALKON
DOKUZ EYLÜL ANA KAPISINA 4 DK YÜRÜME MESAFESİNDE
A101 , CAFE , MARKET , FIRINA 1 DK YÜRÜME MESAFESİNDE
ÇEVRE YOLUNA VE TOPLU TAŞIMALARA ÇOK YAKIN";Atatürk;04-10-2024;2. Kat;2 Katlı;4 Yaşında;2 + 0;/ 45 m2;Eşyalı;;
Buca Hasanağa Bahçesi Yakını 1+1 35m2 Klimalı Kiralık Daire;10.000 TL;"TURYAP ŞİRİNYER TEMSİLCİLİĞİ'NDEN KİRALIK DAİRE
BUCA ATATÜRK MAHALLESİ'NDE 1 ODA 1 SALON, 35m2, KLİMALI, ARAKAT, BAKIMLI DAİRE.
KONUM OLARAK HASANAĞA BAHÇESİNE 5-6 DAKİKALIK YÜRÜYÜŞ MESAFESİNDEDİR. AYRICA ÜNİVERSİTE VE FAKÜLTELERE, SEMT PAZARINA, TOPLU TAŞIMA ARAÇLARINA, AVM VE BANKALARA DA YÜRÜYÜŞ MESAFESİNDEDİR. 
AYRINTILI BİLGİ VE ALTERNATİF SEÇENEKLERİMİZ İÇİN LÜTFEN İLETİŞİME GEÇİNİZ.";Atatürk;07-10-2024;2. Kat;3 Katlı;7 Yaşında;1 + 1;/ 30 m2;Eşyalı Değil;Doğalgaz;
BUCA ATATÜRK MAHALLESİNDE FULLEŞYALI KİRALIK ARAKAT 1+1 DAİRE;14.000 TL;"DAİREMİZ;
1+1 45M2 FUL EŞYALI KLİMALI  5 YAŞINDA GİRİŞ ÜSTÜ ARAKAT BİR DAİREDİR.
DETAYLI BİLGİ İÇİN LÜTFEN ARAYINIZ SIRRI TURGUT ; Telefonu Göster";Atatürk;01-10-2024;Ara Kat;4 Katlı;4 Yaşında;1 + 1;/ 40 m2;Eşyalı;Elektrik;150 TL
Buca Yeşilbağlar' da 2+1 Kiralık Daire;15.000 TL;"MY HOUSE EMLAKTAN KİRALIK



DETAYLI BİLGİ VE RANDEVU İÇİN ARAYINIZ...";Yeşilbağlar;25-09-2024;Zemin;3 Katlı;25 Yaşında;2 + 1;/ 80 m2;Eşyalı Değil;Doğalgaz;
BUCA KADIN DOĞUM HAST. YAKINI 2+0 65 M2 ASANSÖRLÜ ARAKAT BALKONLU KİRALIK DAİRE;17.000 TL;DETAYLI BİLGİ VE YER GÖRME TALEBİNİZ İÇİN ARAYINIZ;Atatürk;30-09-2024;2. Kat;4 Katlı;11 Yaşında;2 + 0;/ 65 m2;Eşyalı;Doğalgaz;
Buca Belediyesi Yakını Menderes Caddesi Üzeri Kiralık 2+1 Daire;17.000 TL;"Dairemiz;
Buca Belediyesi yakınında
Menderes caddesinin üzerinde
Akbank'ın karşı çaprazında
Otobüs ve dolmuş durağının hemen yanında
Market ve alışveriş merkezlerine yürüme mesafesinde
Boyalı, temiz, doğal gazlı
Kapalı cam balkonludur.

Detaylı bilgi ve randevu için:  

STARTKEYALTUNSU
Seval ELMAS
Telefonu Göster
Melahet BERİKAN
Telefonu Göster
Telefonu Göster";Vali Rahmi Bey;08-10-2024;En Üst Kat;4 Katlı;41 Yaşında;2 + 1;/ 85 m2;Eşyalı Değil;Doğalgaz;100 TL
Buca Şirinyer'de Konak Tünel Çıkışı Sağa dönüşde A101 Alt tarafında 100m2 3+1 Daire;13.000 TL;Buca Şirinyer Hürriyet MAhallesinde İzbana Yakın 10dk Mesafede 100m2 3+1 Teraslı Aileye Kiralık DAire;Hürriyet;07-10-2024;3. Kat;3 Katlı;30 Yaşında;3 + 1;/ 100 m2;;;
BUCA-İNÖNÜ MH.DE KİRALIK 4+1 DUBLEKS BÜYÜK TERASLI DAİRE;30.000 TL;"DAİREMİZ
4+1
DUBLEKS
170
40 M2 TERAS
GENİŞ ODALI
İKİ BALKONLU
AÇIK OTOPARKLI
ASANSÖRLÜ
DOĞALGAZLI
DURAK KARŞISINDA
SEMT PAZARI
BİM
BALSA
YANINDA
OTOKENTE
OTOBANA
6.SANAYİYE
SEMT GARAJINA
OPTİMUMA
YAKIN KONUMDA
İRTİBAT İÇİN
TURYAP
EMLAK DANIŞMANI
MUHARREM ÖZDEMİR
Telefonu Göster";İnönü;03-09-2024;3. Kat;3 Katlı;1 Yaşında;4 + 1;/ 170 m2;Eşyalı Değil;;
Buca da Eşyalı Kiralık 1+1 Daire;15.500 TL;"İzmir Buca da koz ağaç mahalesin de 1+1 eşyalı kiralık daire
İletişim  için ERDİNÇ GÜLTEPE Telefonu Göster";Kozağaç;02-08-2024;Zemin;3 Katlı;5 Yaşında;1 + 1;/ 40 m2;Eşyalı;;50 TL
ARGA'DAN HASANAĞA BAHÇESİ YANI EŞYALI 1+1 KİRALIK DAİRE.;15.000 TL;DETAYLI BİLGİ İÇİN ARAYINIZ,;Adatepe;04-08-2024;Yüksek Giriş;4 Katlı;6 Yaşında;1 + 1;/ 40 m2;Eşyalı;Doğalgaz;
Oyak Buca 1 Etap Konutları Kiralık 3+1 bahçe katı;45.000 TL;"SATILIK, İZMİR OYAK BUCA KONUTLARI, 1. ETAP HAVUZLU, 3+1+1(kiler/depo), 178 m², KONUT KREDİSİ KULLANIMINA UYGUN DAİRE GENEL: 178m² brüt, 147m² net daire alanı

Akıllı ev sistemi, görüntülü diyafon

Dekoratif çelik kapı

Merkezi doğalgazlı kalorimetre sistemli
LAMİNANT parke odalar ve salon

Toshiba Marka A+ Sınıfı Klima

Alüminyum cam balkon ve korkulukları

Duman algılama detektörü,

Yangın alarm sistemi

Özel kabinli çift asansör

Analog yayın, site bilgi kanalı, Digitürk, D-Smart ve şifresiz dijital DVB-C yayınlarını kapsayan SMATV Sistemi.

Kilitli posta kutusu

Araç park alanı

BANYO, TUVALET VE ISLAK ZEMİN:

Ebeveyn Banyosu

Vitrifiyeler Kale

Bataryalar Kale

Banyo dolapları Kale

Birinci sınıf ıslak zeminler

MUTFAK:

Ankastre ﻿Hazır Mutfak

(TEKA Marka A+ Sınıf Ocak, Fırın, Davlumbaz, Bulaşık Makinası)

Mutfakta kullanım için doğal gaz imkânı

GENEL SİTE :

Açık yarı olimpik havuz, çocuk havuzu

Yeşil alan, parklar

Çocuk oyun alanı

Spor, kondisyon/fitness alanları

Kent mobilyaları

Havuz kenarı kafeterya, market

7/24 kameralarla izlenebilen tam güvenlik

Otopark

İnternet üzerinden aidat sorgulama, site yönetim sistemine erişim

Çift kat mantolama sistemi

Vaillant marka güneş kollektörleri ile 24 saat sıcak su

Aquashine marka, kum filtresi, su yumuşatıcı ve ultraviyole cihazından oluşan su arıtma sistemi

Şebeke suyu kesintisine karşı tüm sitenin su ihtiyacının karşılanacağı betonarme su deposu

TV-Uydu sistemi

Jeneratör sistemi

Site içinde temel ihtiyaçların karşılanabileceği bir market ve Cafe bulunmaktadır";Aydoğdu;12-08-2024;Giriş Katı;12 Katlı;3 Yaşında;3 + 1;/ 147 m2;Eşyalı Değil;;730 TL
SAFİR'den Eşyalı 1+1 DoğalGazlı Daire;17.000 TL;"ATATÜRK MAHALLESİ 
1+1  50 M² EŞYALI
 KAMPÜS YAKINI ÖĞRENCİYE UYGUN
DOGALGAZLI
 KONUM DOĞRU İŞARETLENMİŞTİR.
Dolmuş ve Otobüs Duraklarına 50 Metre
En Çok Güneş Alan GÜNEY CEPHE
   Profesyonel ve   Güleryüzlü   Ekibimizle Haftanın  7 Günü  Hizmetinizdeyiz.";Atatürk;12-09-2024;3. Kat;5 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı;;
MARKA’DAN 1+1 EŞYALI KLİMALI KİRALIK DAİRE;13.500 TL;"MARKA GAYRİMENKUL’DEN 
1+1 
EŞYALI 
KLİMALI 
MERKEZİ KONUMDA 
DETAYLI BİLGİ İÇİN : Telefonu Göster";Atatürk;30-09-2024;Ara Kat;3 Katlı;8 Yaşında;1 + 1;/ 45 m2;Eşyalı;Elektrik;
BUCA ADA EMLAKTAN DUMLUPINAR MH. 1+1 MH KİRALIK DAİRE;14.000 TL;"BUCA ADA EMLAKTAN 
DUMLUPINAR MAHALLESİNDE 1+1 BOŞ KİRALIK DAİRE 
DAİREMİZ ARA KATTIR
DOĞALGAZLIDIR VE KLİMALIDIR
BALKONLUDUR 
HASTANE,DOLMUŞ,OTOBÜS,ÜNİVERSİTE 5 DK YÜRÜME MESAFESİNDEDİR
MERKEZİ KONUMDADIR
DETAYLI BİLGİ İÇİN 
SELMA YILMAZ
Telefonu Göster";Dumlupınar;25-09-2024;2. Kat;4 Katlı;4 Yaşında;1 + 1;/ 65 m2;Eşyalı Değil;;100 TL
MEYDAN YAKINI ARAKAT DOĞALGAZLI SIFIR OTOMATİK PANJURLU 1+1;13.500 TL;DAİREMİZ KOZAĞAÇ MEYDAN MEVKİNE 50MT ÇEVİKBİR MEYDANA VE PAZAR YERİNE 500 MT MESAFEDEDİR DOĞALGAZLI OTOMATİK PANJURLU FERAH GÜZEL KULLANIM ALANINA SAHİPTİR DOLMUŞ OTOBÜS VE TAKSİ DURAĞINA 25MT MESAFEDE BULUNMAKTADIR;Kozağaç;14-08-2024;1. Kat;4 Katlı;Sıfır Bina;1 + 1;/ 48 m2;Eşyalı Değil;;200 TL
ADATEPEDE GÜZEL LOKASYONLU 2+1;11.000 TL;"Sahibinden Kiralık:

Buca Adatepe mahallesi’nde
Hasanağa Bahçesi’ne 1 dk mesafede
İktisat Fakültesine 1 dk mesafede
Market fırın pazaryeri sağlık ocağı toplu taşımaya sosyal imkanlara yürüme mesafesinde
Konum olarak çok merkezi ve nezih bir muhitte
2+1 85m2
Doğalgazlı
Kilerli
Kapalı mutfaklı
Balkonlu
Çift cephe
Karanlık odası olmayan
Aydınlık ferah
Isı ve ses yalıtımlı
Işık alan
Kiralık daire
öğrenciye uygundur
suriyeli ve yabancı uyruklu şahıslara kiralamıyorum
kirasını aksatmayıp eve gözü gibi bakacak şahıslar tercihimdir
20 eylüle kadar kiracılıdır 21 eylülde kıracı çıkış yapacak
1 KİRA 1 DEPOZİTO İLE GİRİŞ YAPILABİLİR
LÜTFEN EMLAKCILAR ARAMASIN";Adatepe;21-09-2024;En Üst Kat;5 Katlı;10 Yaşında;2 + 1;/ 85 m2;Eşyalı Değil;Doğalgaz;250 TL
REF'DEN KAMPÜS KARŞISI EŞYALI KİRALİK 1+1 DAİRE;14.000 TL;DETAYLI BİLGİ VE RANDEVU İÇİN ARAYINIZ;Kuruçeşme;29-09-2024;Bahçe Katı;4 Katlı;4 Yaşında;1 + 1;/ 45 m2;Eşyalı;;150 TL
BUCA MENDERES MAH. BELEDİYE YAKINI EŞYALI KİRALIK 1+1 DAİRE;15.000 TL;DETAYLI BİLGİ İÇİN ARAYINIZ.;Menderes;14-09-2024;Giriş Katı;4 Katlı;6 Yaşında;1 + 1;/ 50 m2;Eşyalı;Doğalgaz;75 TL
TURPA AYEL YAPIDA 2+1 KİRALIK;18.000 TL;"2+1

Kapalı mutfak 


Doğalgazlı 


Ara kat


Cadde üstü 


Otobüs dolmuş güzergahı 


Alie binasi";Çamlıkule;11-09-2024;Ara Kat;3 Katlı;15 Yaşında;2 + 1;/ 140 m2;Eşyalı Değil;Doğalgaz;100 TL
BUCA-İNÖNÜ DE KİRALIK DUBLEKS 4+1DAİRE;30.000 TL;"DAİREMİZ 
4+1
BÜYÜK TERASLI 
ÇİFT BANYO
ÇİFT BALKONLU
KOMBİLİ
AÇIK OTOPARKLI 
SEMT GARAJI İZBANA 
OTOBANA 
OTOKENTE 
6.SANAYİYE
OPTİMUMA 
YAKIN KONUMDA
OTOBÜS DURAĞI KARŞISINDA 
SEMT PAZARI 
BİM,BALSA
YAKININDA 
İRTİBAT İÇİN
TURYAP EMLAK DANIŞMANI
MUHARREM ÖZDEMİR 
Telefonu Göster
 0544 951 30 33";İnönü;02-09-2024;3. Kat;3 Katlı;Sıfır Bina;4 + 1;/ 165 m2;;;
NEZİH SİTE İÇİ ''3+1'' OTOPARKLI - ÇOCUK PARKLI KİRALIK DAİRE;23.000 TL;"İZMİR / BUCA / ATATÜRK MAHALLESİ 
3+1 - 120M2
Site içi
Arakat
Doğalgazlı
Çocuk Parkı
Açık Otopark
Şehir Manzaralı
Yönetimi Olan, Temiz ve Düzgün Sitedir

Dairemiz Konum İtibariyle ;
Hasanağa Bahçesi'ne çok yakınındadır ,
D.E.Ü fakültelerin karşısındadır,
Buca Doğu otobanı yolu üzeri,
Tüm Temel ve Sosyal Olanaklar Yürüme Mesafesindedir.
İlandaki Konum Doğru İşaretlenmiştir.

Detaylı Bilgi ve Randevu İçin ;
GÖRKEM SAYGIN  |  MERTCAN ÇAKIR
Telefonu Göster    |  Telefonu Göster";Atatürk;18-09-2024;8. Kat;9 Katlı;15 Yaşında;3 + 1;/ 118 m2;Eşyalı Değil;;400 TL
SAFİR'den Eşyalı Balkonlu Kiralık Daire;19.000 TL;"KURUÇEŞME MAHALLESİ  
2+1 
KLİMALI
EŞYALI
ÖĞRENCİ MEMUR VEYA KURUMSAL FİRMA ÇALIŞANI İSTENİLMEKTEDİR.
KONUM DOĞRU İŞARETLENMİŞTİR
Dolmuş ve Otobüs Duraklarına 50 Metre
En Çok Güneş Alan GÜNEY CEPHE
   Profesyonel ve   Güleryüzlü   Ekibimizle Haftanın  7 Günü  Hizmetinizdeyiz.";Kuruçeşme;12-09-2024;2. Kat;4 Katlı;4 Yaşında;2 + 1;/ 55 m2;Eşyalı;;
MARKA'DAN HASANAĞA BAHÇESİ'NİN YANINDA 1+1 KLİMALI KİRALIK DAİR;12.000 TL;"MARKA GAYRİMENKULDEN 
1 + 1 
EŞYASIZ
KLİMALI 
HASANAĞA BAHÇESİNE YÜRÜME MESAFESİNDE 
MERKEZİ KONUMDA 
KONUMU DOĞRU İŞARETLENMİŞTİR 
DETAYLI BİLGİ İÇİN
SERGEN TONBUL
Telefonu Göster";Adatepe;15-09-2024;2. Kat;4 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı Değil;;
AVA EMLAK'TAN 9 EYLÜL HUKUK FAK. YÜRÜME MESAFESİNDE 2+1 DAİRE;15.500 TL;"- 2 ODA 1 SALON 55 M2 DİR.
- AÇIK MUTFAK,
- 20 M2 BAHÇE TERASI,
- HUKUK FAKÜLTESİNE YÜRÜME MESAFESİNDEDİR.
BİLGİ İÇİN; Telefonu Göster";Adatepe;01-10-2024;Giriş Katı;3 Katlı;8 Yaşında;2 + 1;/ 55 m2;Eşyalı Değil;;
ONE HOUSE GAYRİMENKUL DEN KİRALIK DAİRE;14.000 TL;One House gayrimenkulden Kuruçeşme mahallesinde kampüse yürüme mesafesinde 1+1 balkonlu klimalı daire;Adatepe;06-09-2024;Ara Kat;6 Katlı;5 Yaşında;1 + 1;/ 55 m2;Eşyalı;Elektrik;200 TL
BUCA SSK KARŞISINDA 3+1 İÇİ YAPILI ÇİFT CEPHE D.GAZLI BALKONLU SATILIK DAİRE;19.000 TL;"YUNUS KARAGÖZ: 0554*802*88*54
3+1 120 M2 KAPALI ÇATI MANZARALI
İÇİ FULL YAPILI BALKONLU ÇİFT CEPHE
ÖNÜ AÇIK PARK YEŞİL ALAN MANZARALI
OTOPARKLI GÜNEŞ GÖREN GÜNEY CEPHE
KONUM OLARAK BUCA SSK ÇEVİKBİR MEYDAN ECZANELER KAFELER YÜRÜME MESAFESİNDEDİR
AVM MARKET PAZAR OKULLAR CAFELER YÜRÜME MESAFESİNDE
NOT: GÖRSELLER BİREBİR DAİREYE AİTTİR.
BUCA BÖLGESİNDE SATILIK & KİRALIK TÜM MÜLKLERİNİZ İÇİN
ÜCRETSİZ EXPERLİK YAPIYORUZ,
ACİL NAKİT DAİRE ARSA VE VİLLALARINIZ AYNI GÜN ALINIR SATILIR
DETAYLI BİLGİ VE YER GÖRME TALEBİNİZ İÇİN ARAYINIZ";Vali Rahmi Bey;07-10-2024;3. Kat;3 Katlı;20 Yaşında;3 + 1;/ 115 m2;Eşyalı Değil;Doğalgaz;
Bucanın Merkezinde Menderes Mah 2+1 A.Mutfak Sıfır Kiralık Daire;20.000 TL;"COLDWELL BANKER JASSE
GÜVENCESİ İLE



✅ Binamız sıfır yapıdır ve dairenin ilk kiracısı olunacaktır.
✅ Dairemiz güneş almaktadır.
✅ Önü asla kapanmayacak, ferah bir konumdadır.
✅ Şehrin merkezindedir.
✅ Ankastre set mevcuttur.
✅ Yerden ısıtmalıdır.
✅ Sosyal hayatın içindedir, Dokuz eylül üniversitesine ulaşımı kolaydır.
✅ Merkezi konumdadır. (Tüm ulaşım araçlarına yürüme mesafesindedir. Çevresinde okul, hastane ve üniversite bulunmaktadır.)


GAYRİMENKUL
ALIRKEN, SATARKEN VEYA KİRALARKEN BİZİ ARAYIN
ZAMAN SİZE KALSIN
Detaylı
Bilgi ve Randevu İçin Lütfen arayınız.
FİRMAMIZDAN'DAN ALABİLECEĞİNİZ HİZMETLER NELER?
*TAPU TAKİP İŞLEMLERİ *
*BANKA VE KREDİ İŞLEMLERİ *
*KONUT, DÜKKAN, ARSA EKSPER İŞLEMLERİ *
-TÜZÜĞE UYGUN GÜVENLE KİRALAMA
*TÜZÜĞE UYGUN GÜVENLE SATIŞ *
*GAYRİMENKUL NAKİTE ÇEVİRME *
FİRMAMIZ
TİCARET BAKANLIĞI
TARAFINDAN
TAŞINMAZ TİCARETİ YÖNETMELİK HÜKÜMLERİNE GÖRE
3503444
NOLU
YETKİ BELGESİ İLE YETKİLENDİRİLMİŞTİR.
UYARI:
TARAFLARIN HAKLARININ KORUNMASI AMACI İLE GAYRİMENKUL
DANIŞMANLARININ SÖZLEŞME KULLANMALARI T.S.11816 STANDARTLARININ
1.1.1 MADDESİ VE 05-06-2018 TARİHLİ 30442 SAYILI RESMİ GAZETE DE
YAYINLANAN. ""TAŞINMAZ TİCARETİ HAKKINDA YÖNETMELİK""
MADDE 16 GEREĞİ ZORUNLU KILINMIŞTIR. BU NEDENLE GAYRİMENKUL ADRES
BİLGİSİ VERİLMESİ, YER GÖSTERİMLERİ , SUNUMLARI, ""YER GÖSTERME FORMU""
İMZALATILARAK, YAPILMAKTADIR.
ANLAYIŞINIZ İÇİN
TEŞEKKÜR EDERİZ.";Menderes;20-09-2024;2. Kat;5 Katlı;Sıfır Bina;2 + 1;/ 70 m2;Eşyalı Değil;Doğalgaz;
BUCA MENDERES CADDESİ ÜZERİNDE 3+1 ARAKAT DOGALGAZLI BALKONLU DAİRE;20.000 TL;DETAYLI BİLGİ ALMAK İÇİN LÜTFEN ARAYINIZ Telefonu Göster;Barış;01-10-2024;Ara Kat;5 Katlı;25 Yaşında;3 + 11;/ 120 m2;Eşyalı Değil;Doğalgaz;100 TL
YAYLACIKDA 3+1 EŞYALI KİRALIK DAİRE;23.000 TL;"YAYLACIKDA güzel konumda 3+1
ful eşyalı
klimalı
doğalgazli
ev yeni boyandı temizlendi
2 balkonlu
konum olarak çok güzel yerde
heryere rahatlıkla ulaşabileceğiniz bı konumda
pazarlık payı vardır";Yaylacık;27-08-2024;2. Kat;3 Katlı;21 Yaşında;3 + 1;/ 120 m2;Eşyalı;;
BUCA-İNÖNÜ MH.DE KİRALIK 3+1 DUBLEKS BÜYÜK TERASLI DAİRE;30.000 TL;"DAİREMİZ 
3+1
DUBLEKS 
40 M2 TERAS
ÇİFT WC Lİ
İKİ BALKONLU
40 M2 TERAS
OTOPARKLI
OTOBÜS DURAĞI KARŞISINDA 
BİM, BALSA, SEMT PAZARI YANINDA 
OKUL KARŞISINDA 
OTOKENTE
6.SANAYİYE
SEMT GARAJI İZBANA
OTOBANA
OPTİMUMA
YAKIN KONUMDA 

İRTİBAT İÇİN
TURYAP EMLAK DANIŞMANI
MUHARREM ÖZDEMİR
Telefonu Göster";İnönü;02-09-2024;Ara Kat;3 Katlı;1 Yaşında;3 + 1;/ 140 m2;Eşyalı Değil;Doğalgaz;
KIZ ÖĞRENCİSİNE KİRALIK;20.000 TL;"DOKUZ EYLÜL ÜNİVERSİTESİ YAKIN 
ÜNÜVERSİTEYİ  KAZANAN KIZ ÖĞRENCİLERİSE VERİLECEKTİR
SEZONLUK VERİLCEK";Menderes;25-08-2024;Ara Kat;4 Katlı;10 Yaşında;2 + 1;/ 90 m2;Eşyalı Değil;;1 TL
SAFİR'den Öğrenciye Uygun 2+1 Eşyalı Kiralık Daire;22.000 TL;"ATATÜRK MAHALLESİ 
2+1  70 M² EŞYALI 
  // DOĞALGAZLI // 
 KAMPÜSE YÜRÜME MESAFESİ ÖĞRENCİYE UYGUN
 KONUM DOĞRU İŞARETLENMİŞTİR.
Dolmuş ve Otobüs Duraklarına 50 Metre
En Çok Güneş Alan GÜNEY CEPHE
   Profesyonel ve   Güleryüzlü   Ekibimizle Haftanın  7 Günü  Hizmetinizdeyiz.";Atatürk;12-09-2024;3. Kat;5 Katlı;4 Yaşında;2 + 1;/ 70 m2;Eşyalı;;
ŞİRİNYER İZBAN YAKINI EŞYALI DOĞALGAZ'LI KİRALIK DAİRE;19.000 TL;"* ŞİRİNYER İZBANA 100 METRE MESAFEDE
* 2+1 EŞYALI 80 m²
* KAPALI MUTFAKLI
* ARAKAT
* DOĞALGAZLI & KLİMALI
DÜKKAN ÜSTÜ 1. KAT DAİRE
DETAYLI BİLGİ İÇİN ARAYINIZ..
DAİREMİZ AYNI ZAMANDA SATILIK OLUP 6 VEYA 12 AYLIK SÖZLEŞME YAPILACAK .HAFTADA 2 GÜN KİRACI EVİN GEZİLİP GÖRÜLMESİNE MÜSADE EDEBİLECEK KİŞİ OLACAK.";İnkılap;13-10-2024;1. Kat;4 Katlı;11 Yaşında;2 + 1;/ 70 m2;Eşyalı;;100 TL
ADATEPE 2+1 EŞYALI KİRALIK DAİRE;20.000 TL;Detaylı bilgi için arayınız;Adatepe;18-09-2024;1. Kat;3 Katlı;12 Yaşında;2 + 1;/ 70 m2;;;
MARKA'DAN TINAZTEPE KAMPÜS KARŞISI DOĞAL GAZLI KLİMALI KİRALIK D;17.000 TL;"***MARKA GAYRİMENKUL'DEN***
1+1
FULL EŞYALI
DOĞAL GAZLI
KLİMALI
İNTERNET ALTYAPISI HAZIR 
KAMPÜS KARŞISI 
ARAKAT
KİRALIK DAİRE
DETAYLI BİLGİ İÇİN İLETİŞİM
SERGEN TONBUL : Telefonu Göster";Kuruçeşme;15-09-2024;2. Kat;4 Katlı;4 Yaşında;1 + 1;/ 50 m2;Eşyalı;;
